0,1,2,3,4,5
,Risk Drivers,,,Trigger Events,
Staff Competence and Support,,,"▪ High rate of staff-related fraud
▪ Unfair employment practices
▪ Not addressing employee grievances
▪ Uncompetitive remuneration",,
Negative mentions,,,▪ Negative media report,,
Legal and regulatory compliance,,,"▪ Non-compliance with laws and regulations
▪ Non-submission of Regulatory returns
▪ Political and legislative issues
▪ unfavourable court judgments
▪ Regulatory penalties arising from non-compliance with laws and
regulations",,
Customer Satisfaction,,,"▪ Security Failure
▪ Shortfall in quality of service/fair treatment
▪ Bad behavior by employees
▪ Unresolved complaints of customers
▪ Low ranking in satisfaction surveys",,
Corporate Culture,,,"▪ Lack of an appropriate culture to support the achievement of business
objectives.
▪ Unethical behaviour on the part of staff and management
▪ Lack of an appropriate structure for employees to voice their concerns
▪ Ineffective risk management practices.",,
"Social and Environmental Conduct in the
Community",,,▪ Lack of community development initiatives,,
"Risk Management and Control
Environment",,,"▪ Inadequate Risk Management and Control Environment
▪ Continuous violations of existing policies and procedures
▪ High fraud rate
▪ Cybersecurity attacks",,
"Financial Soundness and Business
Viability",,,"▪ Consistent poor financial performance
▪ Substantial losses from unsuccessful investments",,
Business Practices,,,"▪ Continuous increases in customer complaints
▪ Regulatory penalties as a result of customer complaints",,
"▪ Environmental, Social and Governance (ESG)",,,"▪ Data gaps or inconsistencies in emissions, ESG, or green transaction
reporting.
▪ Weak or lost third-party verification/assurance for sustainability or green
finance claims.
▪ Misalignment between stated ESG commitments, use of funds, or project
outcomes.
▪ Negative media, regulatory, or NGO scrutiny alleging greenwashing or
overstated ESG performance.",,
