0,1,2,3,4,5,6,7,8
,,,,,,,,
"CUSTOMER COMPLAINTS AND FEEDBACK
AccessHoldingsPlcisfullycommittedtoitscorevalueof‘passionforcustomers.Thegrouppridesitselfonprovidingexceptionalservicestocustomersatalltimes.Atthesametime,giventhe
numberandcomplexityoffinancialtransactionsthattakeplaceeveryday,theGrouprecognizesthattherewillinevitablybeoccasionswhenmistakesandmisunderstandingsoccur.Inthese
situations,AccessbankencouragescustomerstobringtheirconcernstotheattentionoftheGroupforpromptresolution.Inaddition,deliberateeffortsaremadetosolicitcustomers’feedback
on its products and services.
Complaints Channels
In order to facilitate seamless complaint and feedback process, the bank has provided various channels for customers. These include:
- 24 hour contact centre with feedback through emails, telephone, SMS, Livechat, Social Media etc.
- Feedback portal on the Bank's website
- Customer service desks in over 300 branches and toll-free telephone lines to the office of the Group Managing Director in the banking halls of key branches.
- Correspondence from customers
- The Voice of Customer Solution
- The Ombudsman desk
Complaints Handling
Wehandlecustomercomplaintswithsensitivityandindueregardfortheneedsandunderstandingofeachcomplainant.Effortsaremadetoresolvecustomer’scomplaintsatfirstlevel.Where
this cannot be done, they are immediately referred to the appropriate persons for resolution. All complaints are logged and tracked for resolution and feedback is provided to the customer.
Resolve or Refer command Centre
The‘ResolveorRefer’commandcentreservestoencouragetimelyservicedeliveryandFirstTimeResolution(FTR)ofcustomerissues.The‘ResolveorReferCommandCentre’whichisbeing
runbyaseniormanagementstaffhasthemandatetoensurethatmostcustomerissuesareresolvedsameday.Thecommandcentreprovidessupporttoallourdepartmentsandbrancheson
issue resolution.
Complaints Tracking and Reporting
Wediligentlytrackcomplaintinformationforcontinuousimprovementofourprocessesandservices.Anindependentreviewoftherootcauseofcomplaintsmadeiscarriedoutandlessons
learntarefedbacktotherelevantbusinessunitstoavoidfuturerepetition.CustomercomplaintmetricsareanalysedandreportspresentedtoExecutiveManagementandtheOperationalRisk
Management committee. Reports on customer complaints are also sent to the Central bank as required.",,,,,,,,
,,,,,,,,
ACCESS BANK PLC CUSTOMER'S COMPLAINTS FOR THE PERIOD 30 JUNE 2025,,,,,,,,
NAIRA,,,,,,"AMOUNT
REFUNDED
(NAIRA)
Jun-25 Dec-24
- -
- -
1,006,745,283 1 ,350,494,760",,
NAIRA,,,,,,,,
S/N,DESCRIPTION,NUMBER,,"AMOUNT CLAIMED
(NAIRA)",,"AMOUNT
REFUNDED
(NAIRA)",,
,,Jun-25,Dec-24,Jun-25,Dec-24,Jun-25,Dec-24,
1,Pending complaints B/F,"24,423","33,382","15,992,802,422","2 8,479,861,074",-,-,
2,Received Complaints,"1,864,300","3,205,348","319,463,095,575","472,932,147,342",-,-,
3,Resolved complaints,"1,880,619","3,214,307","3 35,192,628,716","4 85,419,205,995","1,006,745,283","1 ,350,494,760",
4,"Unresolved Complaints
escalated to CBN for
intervention",-,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F","8,104","24,423","263,269,280","1 5,992,802,422",-,-,
,,,,,,,,
USD,,,,,,,,
S/N,DESCRIPTION,NUMBER,,AMOUNT CLAIMED (USD),,AMOUNT REFUNDED (USD),,
,,Jun-25,Dec-24,Jun-25,Dec-24,Jun-25,Dec-24,
1,Pending complaints B/F,569,768,"110,324,843","1 82,738,669",-,-,
2,Received Complaints,10328,"20,311","1,835,799,619","8 ,395,757,162",-,-,
3,Resolved complaints,10268,"20,510","1 ,891,192,503","8 ,468,170,988",-,"1,374",
4,"Unresolved Complaints
escalated to CBN for
intervention",0,-,-,-,-,-,
5,"Unresolved complaints
pending with the bank C/F",629,569,"54,931,959","110,324,843",-,-,
,,,,,,,,
